animal_id,birth_season,age,birth_date,sex,with_infant,trapping_date,euthanasia_date,days_between,necropsy_id,ketamine_time,ketamine_amount,euthanasia_time,brain_extraction_time,brain_frozen_time,blood_in_brain,saline_L,weight_kg,brain_weight_grams,MBR_ID,MMB_ID,MPTB_ID,animal_metadata_comments
2E9,2007,10.2,9/28/2006,F,Y,12/12/2016,12/20/2016,8,A16-533,08:00,,08:40,09:10,09:30,N,,7.38,85.7,MBR0074,MMB0074,MPTB0024,
2Q0,2014,3.2,8/19/2013,F,N,10/26/2016,11/1/2016,6,A16-428,,,,10:02,,Y,,4.28,86.2,MBR0050,MMB0050,MPTB0010,
2Q2,2014,3.2,8/19/2013,F,N,10/18/2016,10/19/2016,1,A16-375,,,,,,,2.5,7.92,86.1,MBR0003,MMB0003,MPTB0004,
2R4,2014,3.2,9/10/2013,M,N,11/16/2016,11/17/2016,1,A16-465,,,11:54,12:21,12:47,Y,,3.96,88.9,MBR0093,MMB0093,MPTB0015,
2S6,2014,3.2,10/1/2013,M,N,11/30/2016,12/1/2016,1,A16-475,,,,13:09,13:40,N,,5.54,84.6,MBR0084,MMB0084,MPTB0015,
2S8,2014,3.3,8/25/2013,F,N,12/6/2016,12/13/2016,7,A16-504,11:00,,11:45,12:10,12:30,N,,3.62,81.7,MBR0062,MMB0062,MPTB0019,
36O,2001,16.0,12/8/2000,F,N,12/12/2016,12/15/2016,3,A16-518,10:40,,11:10,11:40,12:05,Y,,6.70,90.2,MBR0116,MMB0116,MPTB0022,blood in cerebellum and posterior cortex; oval/diamond-shaped posterior brain sections (sections brain 10 and brain 11)
3A6,2005,12.0,11/7/2004,M,N,10/26/2016,11/1/2016,6,A16-429,,,,11:00,NA,N,,10.62,101.4,MBR0052,MMB0052,MPTB0010,
3A9,2005,12.1,11/21/2004,F,N,12/12/2016,12/15/2016,3,A16-520,12:10,,13:00,13:35,13:55,N,,8.46,90.3,MBR0112,MMB0112,MPTB0022,
3L5,2011,5.9,12/4/2010,M,N,10/19/2016,10/24/2016,5,A16-399,,,15:45,16:35,16:55,N,NT,8.14,107.8,MBR0031,MMB0031,MPTB0007,
3L6,2011,6.1,10/8/2010,M,N,10/20/2016,10/26/2016,6,A16-408,12:00,,,12:30,,,,9.88,94.8,MBR0032,MMB0032,MPTB0002,
3N4,2012,5.0,10/11/2011,F,Y,10/19/2016,10/26/2016,7,A16-406,,,09:40,10:22,,N,,5.84,83.4,MBR0033,MMB0033,MPTB0003,this row was somehow deleted from the Google doc prior to 2019-01-12 and then re-populated on 2019-02-26
3P2,2013,4.0,10/10/2012,M,N,10/18/2016,10/20/2016,2,A16-383,,,,,,,3.0,6.40,93.1,MBR0011,MMB0011,MPTB0008,
3P7,2013,4.3,8/15/2012,F,N,12/12/2016,12/19/2016,7,A16-531,11:45,,12:35,13:00,13:25,Y,,4.76,91.9,MBR0113,MMB0113,MPTB0023,
3Q5,2014,3.0,10/27/2013,M,N,10/18/2016,10/19/2016,1,A16-376,,,,,,,2.5,3.88,87.6,MBR0006,MMB0006,MPTB0004,
3R1,2014,3.3,8/24/2013,M,N,12/6/2016,12/13/2016,7,A16-501,08:30,,09:30,09:50,10:10,N,,4.64,89.9,MBR0105,MMB0105,MPTB0019,
3R3,2014,3.2,8/13/2013,F,N,10/26/2016,10/31/2016,5,A16-426,,,11:15,11:45,12:00,N,,4.90,81.4,MBR0051,MMB0051,MPTB0009,
3R7,2014,3.3,8/19/2013,M,N,12/12/2016,12/14/2016,2,A16-515,15:15,,15:55,16:30,16:50,Y,,4.80,95.8,MBR0118,MMB0118,MPTB0021,perfusion took longer than expected due to frozen saline
41N,2000,16.7,2/4/2000,M,N,10/26/2016,10/31/2016,5,A16-427,,,14:30,15:05,15:25,N,,8.70,91.2,MBR0053,MMB0053,MPTB0010,
43N,2000,17.0,11/11/1999,M,N,11/9/2016,11/10/2016,1,A16-451,,,11:40,12:10,13:00,N,,9.74,94.8,MBR0055,MMB0055,MPTB0013,"blood and PAX labeled by hand (missing printed labels), fecal samples not collected, brain atrophy, blood and paxgene RNA samples left out for 3 days "
48V,2004,13.0,12/2/2003,F,Y,11/15/2016,11/16/2016,1,A16-461,,,14:25,14:52,15:20,N,,6.74,91.6,MBR0089,MMB0089,MPTB0014,
49Z,2005,12.0,11/22/2004,M,N,12/1/2016,12/8/2016,7,A16-488,,,,12:05,12:30,Y,,9.26,113.4,MBR0087,MMB0087,MPTB0017,
4C6,2006,10.8,1/26/2006,M,N,10/25/2016,10/27/2016,2,A16-415,,,11:35,12:15,,N,,9.38,102.4,MBR0039,MMB0039,MPTB0002,
4I9,2010,7.0,10/12/2009,F,N,10/25/2016,10/27/2016,2,A16-413,,,09:35,10:05,,N,,6.10,94.0,MBR0038,MMB0038,MPTB0002,
4J0,2010,7.1,9/2/2009,M,N,10/19/2016,10/24/2016,5,A16-398,,,13:25,13:50,,N,NT,11.40,107.3,MBR0025,MMB0025,MPTB0007,
4J3,2010,7.3,9/2/2009,F,Y,12/1/2016,12/8/2016,7,A16-492,,,,16:20,16:45,N,,6.34,89.0,MBR0094,MMB0094,MPTB0017,
4J6,2010,7.1,9/23/2009,F,Y,11/15/2016,11/16/2016,1,A16-462,,,15:23,15:40,16:10,Y,,6.36,87.4,MBR0090,MMB0090,MPTB0014,
4L8,2011,6.1,9/12/2010,F,Y,10/18/2016,10/21/2016,3,A16-390,,,,,,Y,NT,7.96,80.1,MBR0012,MMB0012,MPTB0012,
4N5,2012,5.1,9/14/2011,F,N,10/18/2016,10/20/2016,2,A16-385,,,,,,Y,5.0,6.72,88.7,MBR0014,MMB0014,MPTB0008,
4N7,2012,5.1,9/9/2011,M,N,10/18/2016,10/20/2016,2,A16-379,,,,,,,8.5,7.38,95.8,MBR0009,MMB0009,MPTB0005,
4N8,2012,5.3,8/13/2011,M,N,12/6/2016,12/8/2016,2,A16-490,,,,14:45,15:10,N,,9.60,106.0,MBR0107,MMB0107,MPTB0017,
4Q6,2014,3.2,8/5/2013,F,N,10/20/2016,10/24/2016,4,A16-400,,,17:00,17:40,,Y,NT,4.24,79.6,MBR0028,MMB0028,MPTB0012,
4S0,2014,3.1,11/11/2013,F,N,12/6/2016,12/12/2016,6,A16-495,,,,10:05,10:30,N,,3.60,86.5,MBR0111,MMB0111,MPTB0018,
4S3,2014,3.2,10/5/2013,F,N,12/1/2016,12/8/2016,7,A16-491,,,,15:30,15:55,N,,4.00,74.7,MBR0095,MMB0095,MPTB0017,animal originally trapped on 10/26 and released; trapped again on 12/1
50P,2001,15.6,3/20/2001,M,N,10/19/2016,10/21/2016,2,A16-389,,,,,,N,NT,5.76,98.4,MBR0019,MMB0019,MPTB0011,
55R,2002,15.0,11/8/2001,F,Y,10/26/2016,10/28/2016,2,A16-424,,,16:10,16:40,NA,N,,7.18,100.9,MBR0043,MMB0043,MPTB0009,
56R,2002,14.9,12/4/2001,F,Y,11/14/2016,11/15/2016,1,A16-457,,,13:10,13:28,13:57,N,,6.62,91.0,MBR0083,MMB0083,MPTB0013,
5B6,2006,11.2,10/10/2005,F,Y,12/6/2016,12/14/2016,8,A16-511,11:50,,12:20,12:55,13:20,N,,5.48,75.5,MBR0106,MMB0106,MPTB0021,
5H7,2009,8.2,10/5/2008,M,N,12/8/2016,12/13/2016,5,A16-502,09:25,,10:20,10:40,11:00,N,,8.32,95.5,MBR0065,MMB0065,MPTB0019,animal originally trapped on 11/10 and released; trapped again on 12/8
5I9,2010,7.1,10/26/2009,F,N,12/7/2016,12/14/2016,7,A16-510,10:35,,11:20,11:50,12:10,N,,5.58,85.9,MBR0108,MMB0108,MPTB0020,
5J6,2010,7.1,11/2/2009,F,N,12/12/2016,12/14/2016,2,A16-514,14:25,,15:00,15:35,15:55,N,,4.66,83.7,MBR0114,MMB0114,MPTB0021,
5N1,2012,5.1,9/24/2011,F,N,10/19/2016,10/21/2016,2,A16-392,,,,,,N,NT,6.88,89.8,MBR0022,MMB0022,MPTB0006,
5P6,2013,4.2,10/11/2012,F,N,12/1/2016,12/8/2016,7,A16-487,,,,10:50,11:05,N,,4.52,85.5,MBR0096,MMB0096,MPTB0017,
5R9,2014,3.2,8/24/2013,M,N,10/31/2016,11/1/2016,1,A16-431,,,,12:52,,Y,,4.38,94.1,MBR0059,MMB0059,MPTB0013,
60T,2003,13.9,11/17/2002,M,N,10/25/2016,10/27/2016,2,A16-414,,,10:45,11:25,NA,N,,10.66,99.1,MBR0040,MMB0040,MPTB0002,no PAXgene RNA blood tube collected
62S,2003,13.8,1/7/2003,F,Y,11/1/2016,11/2/2016,1,A16-445,,,,13:40,,N,,6.90,94.7,MBR0064,MMB0064,MPTB0010,
65Z,2005,12.0,10/17/2004,F,Y,10/26/2016,10/28/2016,2,A16-423,,,15:00,15:45,NA,N,,7.62,96.8,MBR0045,MMB0045,MPTB0009,
6B4,2006,11.2,10/11/2005,F,Y,12/1/2016,12/12/2016,11,A16-500,,,14:45,15:10,15:30,N,,6.08,94.6,MBR0098,MMB0098,MPTB0019,
6H6,2009,8.0,11/29/2008,F,N,12/12/2016,12/15/2016,3,A16-519,11:10,,12:00,12:25,12:45,N,,6.28,94.1,MBR0115,MMB0115,MPTB0022,
6I4,2010,7.1,10/1/2009,M,N,10/18/2016,10/20/2016,2,A16-382,,,,,,,9.0,13.02,97.1,MBR0010,MMB0010,MPTB0005/MPTB0006,no EDTA blood tube collected
6R4,2014,3.2,8/23/2013,F,N,10/18/2016,10/20/2016,2,A16-378,,,,,,,6.0,5.98,85.6,MBR0008,MMB0008,MPTB0005,
6R9,2014,3.2,10/9/2013,M,N,12/12/2016,12/15/2016,3,A16-516,08:45,,09:30,10:00,10:15,N,,4.64,90.3,MBR0117,MMB0117,MPTB0021,
77S,2003,13.9,1/18/2003,F,Y,11/30/2016,12/1/2016,1,A16-479,,,,17:32,17:56,Y,,6.66,79.4,MBR0085,MMB0085,MPTB0016,
7E0,2008,9.2,10/6/2007,F,Y,12/8/2016,12/13/2016,5,A16-506,13:25,,14:05,14:40,15:00,N,,6.30,94.7,MBR0110,MMB0110,MPTB0020,
7E3,2008,9.2,10/9/2007,F,Y,12/1/2016,12/12/2016,11,A16-499,,,,14:15,14:40,N,,7.20,91.4,MBR0099,MMB0099,MPTB0018,
7L0,2011,6.1,9/1/2010,F,N,10/18/2016,10/19/2016,1,A16-377,,,,,,,6.0,5.66,92.4,MBR0007,MMB0007,MPTB0004/MPTB0008,
7L7,2011,6.1,10/27/2010,F,Y,12/12/2016,12/15/2016,3,A16-521,13:10,,14:00,14:25,14:50,Y,,6.04,89.3,MBR0119,MMB0119,MPTB0022,
80S,2003,14.1,11/12/2002,F,N,12/15/2016,12/19/2016,4,A16-530,11:00,,11:50,12:15,12:35,N,,6.86,90.2,MBR0121,MMB0121,MPTB0023,
8E2,2008,9.1,10/9/2007,F,N,11/16/2016,11/17/2016,1,A16-464,,,11:05,11:34,12:02,Y,,6.32,89.3,MBR0092,MMB0092,MPTB0015,
8K7,2011,6.2,10/5/2010,F,N,12/1/2016,12/2/2016,1,A16-480,,,11:40,12:09,12:40,N,,5.24,95.7,MBR0100,MMB0100,MPTB0016,
8L6,2011,6.1,10/5/2010,M,N,10/19/2016,10/24/2016,5,A16-396,,,11:30,12:00,,N,NT,9.70,88.1,MBR0027,MMB0027,MPTB0007,
91O,2001,15.9,12/14/2000,M,N,10/19/2016,10/24/2016,5,A16-394,,,10:30,11:10,,N,NT,12.86,99.7,MBR0026,MMB0026,MPTB0006,
94O,2001,15.9,12/18/2000,M,N,10/20/2016,10/25/2016,5,A16-404,,,,,,,,10.28,94.6,MBR0036,MMB0036,MPTB0003,extra blood drawn for additional EDTA tube
94S,2003,13.9,11/17/2002,F,Y,10/26/2016,10/28/2016,2,A16-422,,,12:15,12:55,NA,N,,7.16,79.3,MBR0047,MMB0047,MPTB0009,
9C6,2007,10.2,10/12/2006,M,N,12/6/2016,12/13/2016,7,A16-505,11:45,,12:30,13:00,13:25,N,,10.20,92.3,MBR0060,MMB0060,MPTB0020,photos of each brain section
9I5,2010,7.0,11/11/2009,F,N,10/31/2016,11/1/2016,1,A16-430,,,,12:04,,N,,5.18,87.8,MBR0058,MMB0058,MPTB0010,
9I7,2010,6.9,11/18/2009,F,N,10/24/2016,10/26/2016,2,A16-409,13:05,,,,,,,5.94,90.6,MBR0037,MMB0037,MPTB0002,
9N0,2012,5.1,9/4/2011,F,N,10/19/2016,10/21/2016,2,A16-386,,,,,,,NT,5.74,77.2,MBR0004,MMB0015,MPTB0006,
9O0,2013,4.0,10/21/2012,M,N,10/18/2016,10/20/2016,2,A16-384,,,,,,,3.0,4.91,88.1,MBR0013,MMB0013,MPTB0008,
9P5,2013,4.3,8/6/2012,F,N,11/30/2016,12/1/2016,1,A16-474,,,,12:15,12:40,N,,4.94,81.9,MBR0080,MMB0080,MPTB0016,
9P6,2013,4.1,9/16/2012,M,N,10/19/2016,10/21/2016,2,A16-391,,,,,,Y,NT,5.42,102.9,MBR0021,MMB0021,MPTB0012,missing one arm
CPRCI15BK58,2015,#VALUE!,NA,M,N,N/A,11/4/2016,,CHECK,,,13:30,13:50,NA,N,,CHECK,76.4,MBR0124,NA,NA,"Sebana Seca animal; individual brain slice bags mislabled CPRCI15DK58, large ziploc labeled correctly"
I1703Z,2017,0.2,8/14/2016,F,N,10/19/2016,10/25/2016,6,A16-401,09:50,,,,,,,0.82,74.2,MBR0034,MMB0034,MPTB0003,
I1720S,2017,0.2,8/14/2016,F,N,10/26/2016,10/27/2016,1,A16-416,,,12:30,12:47,,N,,0.70,65.0,MBR0042,MMB0042,MPTB0001,
I1722H,2017,0.1,9/8/2016,F,N,10/19/2016,10/24/2016,5,A16-393,,,,,,Y,NT,0.54,85.6,MBR0024,MMB0024,MPTB0011,no PAXgene RNA or EDTA blood tubes collected
I172C0,2017,0.2,10/6/2016,F,N,12/15/2016,12/19/2016,4,A16-532,12:35,,13:25,13:55,14:15,Y,,0.76,71.5,MBR0122,MMB0122,MPTB0023,
I172E9,2017,0.1,11/7/2016,M,N,12/12/2016,12/19/2016,7,A16-528,10:10,,11:00,11:30,11:50,Y,,0.62,67.6,MBR0123,MMB0123,MPTB0023,
I173N4,2017,0.3,7/22/2016,M,N,10/19/2016,10/25/2016,6,A16-403,,,,,,,,0.70,77.6,MBR0035,MMB0035,MPTB0003,
I1748V,2017,0.3,8/11/2016,F,N,11/15/2016,11/16/2016,1,A16-458,NA,,NA,11:20,11:45,Y,,0.82,72.7,MBR0082,MMB0082,MPTB0014,
I174J3,2017,0.4,7/18/2016,M,N,12/1/2016,12/8/2016,7,A16-489,,,,12:40,13:05,N,,1.10,74.5,MBR0101,MMB0101,MPTB0022,
I174J6,2017,0.3,7/15/2016,M,N,11/15/2016,11/16/2016,1,A16-460,,,11:52,12:14,12:37,Y,,0.60,75.5,MBR0088,MMB0088,MPTB0014,
I174L8,2017,0.2,7/26/2016,M,N,10/18/2016,10/21/2016,3,A16-387,,,,,,N,NT,0.84,71.6,MBR0018,MMB0018,MPTB0011,
I1755R,2017,0.2,8/23/2016,F,N,10/26/2016,10/28/2016,2,A16-421,,,11:50,12:05,NA,Y,,0.90,83.3,MBR0044,MMB0044,MPTB0009,
I1756R,2017,0.2,8/26/2016,F,N,11/14/2016,11/15/2016,1,A16-456,NA,,NA,11:37,12:15,Y,,0.84,81.6,MBR0076,MMB0076,MPTB0013,
I175B6,2017,0.4,7/26/2016,F,N,12/6/2016,12/14/2016,8,A16-508,08:45,,09:45,10:05,10:30,Y,,0.80,61.3,MBR0077,MMB0077,MPTB0020,
I1762S,2017,0.3,7/21/2016,M,N,11/1/2016,11/2/2016,1,A16-444,,,13:05,11:50,,Y,,0.80,86.2,MBR0063,MMB0063,MPTB0013,
I1765Z,2017,0.3,6/29/2016,F,N,10/26/2016,10/28/2016,2,A16-420,,,10:45,11:05,NA,Y,,0.96,88.5,MBR0046,MMB0046,MPTB0001,
I176B4,2017,0.2,9/28/2016,M,N,12/1/2016,12/12/2016,11,A16-498,,,,12:10,12:50,Y,,0.58,76.9,MBR0103,MMB0103,MPTB0018,
I1777S,2017,0.2,9/6/2016,M,N,11/30/2016,12/1/2016,1,A16-476,,,13:40,13:58,14:25,Y,,0.62,58.7,MBR0086,MMB0086,MPTB0016,
I177E0,2017,0.3,8/31/2016,F,N,12/8/2016,12/13/2016,5,A16-503,10:15,,11:00,11:25,11:45,Y,,0.68,74.5,MBR0109,MMB0109,MPTB0019,
I177E3,2017,0.4,7/3/2016,F,N,12/1/2016,12/12/2016,11,A16-496,,,,10:35,11:05,Y,,1.02,75.9,MBR0102,MMB0102,MPTB0018,
I177L7,2017,0.4,7/12/2016,M,N,12/12/2016,12/15/2016,3,A16-517,09:30,,10:15,10:40,11:00,Y,,1.60,75.2,MBR0120,MMB0120,MPTB0021,
I1794S,2017,0.3,7/3/2016,F,N,10/26/2016,10/28/2016,2,A16-419,,,09:55,10:30,NA,N,,1.00,80.4,MBR0049,MMB0049,MPTB0001,
V80,1991,25.9,1/13/1991,F,N,11/30/2016,12/1/2016,1,A16-478,NA,,NA,16:50,17:12,N,,7.62,86.6,MBR0067,MMB0067,MPTB0015,
